#FILE	NUM_FOUND	aslA	astA	chuA	chuS	chuT	chuU	chuV	chuW	chuX	chuY	csgB	csgD	csgF	csgG	entA	entB	entC	entD	entE	entF	entS	espL1	espL4	espR1	espR4	espX1	espX4	espX5	espY1	fdeC	fepA	fepB	fepC	fepD	fepG	fes	fimA	fimB	fimC	fimD	fimE	fimF	fimG	fimH	fimI	fyuA	gspC	gspD	gspE	gspF	gspG	gspH	gspI	gspJ	gspK	gspL	gspM	gtrA	gtrB	ibeA	iroB	iroC	iroD	iroE	iroN	irp1	irp2	iucA	iucB	iucC	iucD	iutA	kpsD	kpsM	kpsT	ompA	papB	papC	papD	papE	papF	papG	papH	papI	papJ	papK	papX	pic	shuA	shuS	shuX	vat	yagV/ecpE	yagW/ecpD	yagX/ecpC	yagY/ecpB	yagZ/ecpA	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX	ykgK/ecpR
O16H48_Indonesia	43	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	99.28	100	100	.	83.81	99.47	.	99.94	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	99.88	.	.	.	.	.	.	.	.	100	100	100	97.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
O25H4_Denmark	79	100	.	100	100	100	100	100	100	100	100	99.78	100	99.04	100	100	100	100	85.86	100	100	100	.	.	.	.	.	.	.	.	99.93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.76	.	.	99.93	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O36H5_Pakistan	57	100.00;100.00	100.00;100.00;100.00;100.00	.	.	.	.	.	.	.	.	99.78;99.78	100.00;100.00	99.04;99.04	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.28;99.28	100.00;100.00	100.00;100.00	.	83.73;83.73	.	99.93;99.93	.	100.00;100.00	99.87;99.87	99.88;99.88	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	92.24;92.24	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	99.91;99.91	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74;99.74	100.00;100.00	99.96;99.96	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	.	100.00;100.00
O76_O8H9_China	57	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.66	100	98.47	.	83.73	.	99.93	.	100	.	99.88	100	100	100	100	100	100	100	100	100	100	99.66	100	100	100	100	.	.	.	100	99.92	100	100	100	100	100	100	100	.	.	.	99.91	100	100	100	100	.	.	100	100	100	98.8	99.96	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
O78H4_Australia	76	100	.	.	.	100	100	100	100	.	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	100	.	.	.	.	.	.	.	99.93	100	100	100	100	100	100	100	100	100	100	99.83	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	.	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O78H4_Korea	77	100	100	.	.	100	100	100	100	.	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	100	.	.	.	.	.	.	.	99.93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	86.3	.	.	.	.	.	99.91	100	100	100	100	100	99.93	100	100	100	98.8	99.96	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O78H9_China	68	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.66	100	98.47	.	83.73	.	99.93	99.94	100	.	99.74	100	100	100	100	100	100	100	100	100	100	99.66	100	100	100	100	100	.	.	100	99.92	100	100	100	100	100	100	.	.	.	.	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	100	100	100	100	100	99.88	100	100	100
O78H9_HPVN24_VN	60	.	.	.	.	.	.	.	.	.	.	99.78	99.39	99.04	100	100	100	100	100	100	98.66	100	98.47	.	83.73	.	99.93	99.94	100	.	98.14	100	100	100	100	100	100	100	100	100	100	99.66	100	100	100	100	100	.	.	100	99.92	100	100	100	100	100	100	.	.	.	.	80.84	.	.54.47	94.98	.	100	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O78H9_IMT2125_UK	48	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.61	100	98.42	.	83.73	.	99.93	99.94	100	.	99.88	100	100	100	100	100	100	100	100	100	100	99.66	100	100	100	100	.	.	.	100	99.92	100	100	100	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
O78H51_Korea	70	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	99.28	100	100	.	83.81	.	100	99.94	100	.	99.76	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	.	.	.	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O78_US	48	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.66	100	98.47	.	83.73	.	99.93	99.94	100	.	99.74	100	100	100	100	100	100	100	100	100	100	99.66	100	100	100	100	.	.	.	100	99.92	100	100	100	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
