#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IVa	AAC(3)-VIa	APH(3'')-Ib	APH(3')-IIa	APH(3')-Ia	APH(4)-Ia	APH(6)-Id	AcrE	AcrF	AcrS	CRP	CTX-M-1	CTX-M-123	CTX-M-27	CTX-M-55	CTX-M-65	EC-13	EC-15	EC-18	EC-5	EC-8	Escherichia_coli_acrA	Escherichia_coli_emrE	Escherichia_coli_mdfA	FosA3	FosA4	H-NS	MCR-1.1	Mrx	OmpA	PmrF	QnrS1	TEM-1	TEM-135	TEM-141	TEM-150	TolC	YojI	aadA	aadA17	aadA2	aadA22	aadA5	acrB	acrD	arr-2	bacA	catII_from_Escherichia_coli_K-12	cmlA1	cpxA	dfrA1	dfrA12	dfrA14	dfrA15	dfrA17	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	floR	gadW	gadX	kdpE	leuO	linG	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mphA	msbA	oqxA	oqxB	qacEdelta1	qacL	sul1	sul2	sul3	tet(A)	tet(B)	tet(M)	ugd
O78H4_Korea	47	.	.	100	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	100	.	.	95.82	100	.	.	.	.	.	100	100	100	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	100	100	.	100	100	100	100	100	100	85.49	100	100	100	100	100	.	100	.	.	100	.	100	.	.	.	.	.	100
O78H51_Korea	45	.	.	.	.	.	.	.	.	100	100	100	100	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	100	.	100
O78H9_China	59	100	.	.	.	100	.	.	100	100	100	100	100	.	.	.	100	.	100	.	.	.	.	100	100	100	100	.	100	.	100	96.89	100	100	.	.	86.64	.	100	100	.	.	.	100	.	100	100	100	100	.	.	100	.	.	100	.	.	100	100	100	100	100	100	100	100	100	100	100	99.26	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	.	.	.	100	97.8	.	.	100
O78H9_HPVN24_VN	42	.	.	.	84.2	.	.	.	.	100	100	100	100	.	.	.	.	.	100	.	.	.	.	100	100	.	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	100	.	.	100	100	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	.	100	100	100	.	100	100	.	100	.	.	100	.	.	.	.	.	.	.	100
O78H9_IMT2125_UK	43	.	.	.	.	.	.	.	.	100	99.97	100	100	.	.	.	.	.	100	.	.	.	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	100	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	99.97	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O78_US	43	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	100	.	.	.	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	100	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O82H8_Thailand	51	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	100	.	.	100	100	100	.	.	100	100	.	95.82	100	.	.	.	.	.	100	100	100	.	100	.	.	100	100	.	99.76	.	100	100	.	100	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	97.8	.	.	100
O8H25_Laos	52	100.00;100.00	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	100	.	.	100	.	100	.	.	100	.	.	96.89	100	100.00;100.00	.	.	.	.	100	100	100	.	100	.	.	100	100	.	99.76	100	100	100	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	100	.	.	100	97.8	.	.	.
O9H21_China	62	100	.	.	100.00;100.00	.	.	.	100.00;100.00	100	100	100	100	.	100	.	100	100	.	.	100	.	.	100	100	100	100.00;100.00	.	100	100	100	96.89	100	.	100	.	.	.	100	100	.	100	.	.	100	100	100	.	99.76	.	.	100	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	100	99.26	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	.	100	100.00;100.00	.	100.00;97.80	.	.	100
O-H32_Brunei	59	100	.	.	100	.	99.75	.	100	100	100	99.85	100	.	.	.	.	.	.	100	.	.	.	100	.	100	.	100	100	100	.	95.82	100	.	100	.	.	.	100	100	100	.	100	.	.	100	100	.	100	.	100	100	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	100	.	96.94	100	97.8	.	100	100
O-H5_Pakistan	47	.	.	.	.	.	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	100.00;100.00	.	.	.	100.00;100.00	.	100.00;100.00	.	.	100.00;100.00	.	.	95.82;95.82	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	100.00;100.00	100.00;100.00	.	.	.	.	.	100.00;100.00	100.00;100.00	.	100.00;100.00	.	.	100.00;100.00	.	.	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;89.71;100.00;89.71	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00;100.00;100.00	100.00;100.00;100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	100.00;100.00	.	99.49;99.49
