"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"yibF","","glutathione transferase-like protein possibly involved in selenium metabolism","21","21","1","52","1318","","","","608","608","608","OH32Brunei_03570","OH5Pakistan_00164","O109H51Pakistan_00339","O16H48Indonesia_03652","O1H7Pakistan_00252","O1K1H7Korea_00131","O25H4Denmark_02219","O2K1H5China_01908","O2K1H5Korea_00165","O36H5Pakistan_00268","O76O8H9China_01472","O78H4Australia_02111","O78H4Korea_00207","O78H51Korea_04501","O78H9China_03989","O78H9HPVN24_03833","O78H9IMT2125UK_03909","O78US_04576","O82H8Thailand_04438","O8H25Laos_04721","O9H21China_00125"
"cspG","","cold shock protein CspG","21","21","1","52","8771","","","","212","212","212","OH32Brunei_05181","OH5Pakistan_02981","O109H51Pakistan_03184","O16H48Indonesia_01014","O1H7Pakistan_03108","O1K1H7Korea_03184","O25H4Denmark_03291","O2K1H5China_03984","O2K1H5Korea_03329","O36H5Pakistan_03010","O76O8H9China_02258","O78H4Australia_04352","O78H4Korea_03123","O78H51Korea_01632","O78H9China_00661","O78H9HPVN24_01096","O78H9IMT2125UK_01106","O78US_01872","O82H8Thailand_04857","O8H25Laos_01943","O9H21China_03003"
"yajQ","","nucleotide binding protein","21","21","1","52","8368","","","","491","491","491","OH32Brunei_01067","OH5Pakistan_03687","O109H51Pakistan_03924","O16H48Indonesia_00432","O1H7Pakistan_03727","O1K1H7Korea_03787","O25H4Denmark_00901","O2K1H5China_03390","O2K1H5Korea_03867","O36H5Pakistan_03664","O76O8H9China_04140","O78H4Australia_03698","O78H4Korea_03764","O78H51Korea_00959","O78H9China_02789","O78H9HPVN24_00473","O78H9IMT2125UK_00443","O78US_01182","O82H8Thailand_01971","O8H25Laos_01342","O9H21China_03680"
"hypA","","accessory protein for nickel incorporation into hydrogenase 3","21","21","1","52","2487","","","","350","350","350","OH32Brunei_02332","OH5Pakistan_01115","O109H51Pakistan_01360","O16H48Indonesia_02779","O1H7Pakistan_01273","O1K1H7Korea_01235","O25H4Denmark_00508","O2K1H5China_00945","O2K1H5Korea_01231","O36H5Pakistan_01181","O76O8H9China_01184","O78H4Australia_00928","O78H4Korea_01195","O78H51Korea_03491","O78H9China_03863","O78H9HPVN24_02876","O78H9IMT2125UK_02960","O78US_03622","O82H8Thailand_02269","O8H25Laos_03745","O9H21China_01174"
"rplQ","","50S ribosomal subunit protein L17","21","21","1","52","1881","","","","383","383","383","OH32Brunei_03975","OH5Pakistan_00490","O109H51Pakistan_00646","O16H48Indonesia_03354","O1H7Pakistan_00584","O1K1H7Korea_00462","O25H4Denmark_04422","O2K1H5China_01575","O2K1H5Korea_00493","O36H5Pakistan_00576","O76O8H9China_02928","O78H4Australia_01773","O78H4Korea_00549","O78H51Korea_04185","O78H9China_04743","O78H9HPVN24_03523","O78H9IMT2125UK_03596","O78US_04259","O82H8Thailand_03432","O8H25Laos_04366","O9H21China_00441"
"lpxA","","UDP-N-acetylglucosamine acyltransferase","21","21","1","52","7746","","","","788","788","788","OH32Brunei_03102","OH5Pakistan_03985","O109H51Pakistan_04228","O16H48Indonesia_00186","O1H7Pakistan_03974","O1K1H7Korea_04036","O25H4Denmark_03385","O2K1H5China_03133","O2K1H5Korea_04100","O36H5Pakistan_03931","O76O8H9China_04493","O78H4Australia_03366","O78H4Korea_04114","O78H51Korea_00692","O78H9China_01220","O78H9HPVN24_00228","O78H9IMT2125UK_00197","O78US_00918","O82H8Thailand_02084","O8H25Laos_01093","O9H21China_03969"
"ccmE","","membrane anchored periplasmic heme chaperone CcmE","21","21","1","52","4909","","","","479","479","479","OH32Brunei_00129","OH5Pakistan_01623","O109H51Pakistan_01907","O16H48Indonesia_02261","O1H7Pakistan_01765","O1K1H7Korea_01870","O25H4Denmark_00374","O2K1H5China_00320","O2K1H5Korea_01891","O36H5Pakistan_01718","O76O8H9China_00120","O78H4Australia_00444","O78H4Korea_01674","O78H51Korea_02935","O78H9China_01964","O78H9HPVN24_02335","O78H9IMT2125UK_02343","O78US_03108","O82H8Thailand_03583","O8H25Laos_03203","O9H21China_01671"
"napC","","cytochrome c protein","21","21","1","52","4904","","","","602","602","602","OH32Brunei_00134","OH5Pakistan_01618","O109H51Pakistan_01902","O16H48Indonesia_02266","O1H7Pakistan_01760","O1K1H7Korea_01865","O25H4Denmark_00369","O2K1H5China_00325","O2K1H5Korea_01886","O36H5Pakistan_01713","O76O8H9China_00115","O78H4Australia_00449","O78H4Korea_01669","O78H51Korea_02940","O78H9China_01959","O78H9HPVN24_02340","O78H9IMT2125UK_02348","O78US_03113","O82H8Thailand_03578","O8H25Laos_03208","O9H21China_01666"
"lolA","","periplasmic chaperone, effects translocation of lipoproteins from inner membrane to outer","21","21","1","52","8872","","","","611","611","611","OH32Brunei_04623","OH5Pakistan_03085","O109H51Pakistan_03287","O16H48Indonesia_00910","O1H7Pakistan_03233","O1K1H7Korea_03268","O25H4Denmark_03756","O2K1H5China_03900","O2K1H5Korea_03413","O36H5Pakistan_03117","O76O8H9China_02360","O78H4Australia_04255","O78H4Korea_03217","O78H51Korea_01529","O78H9China_00558","O78H9HPVN24_00992","O78H9IMT2125UK_00962","O78US_01728","O82H8Thailand_00941","O8H25Laos_01804","O9H21China_03107"
"recA","","DNA strand exchange and recombination protein with protease and nuclease activity","21","21","1","52","2456","","","","1061","1061","1061","OH32Brunei_02305","OH5Pakistan_01142","O109H51Pakistan_01387","O16H48Indonesia_02752","O1H7Pakistan_01301","O1K1H7Korea_01263","O25H4Denmark_00480","O2K1H5China_00917","O2K1H5Korea_01259","O36H5Pakistan_01208","O76O8H9China_01211","O78H4Australia_00901","O78H4Korea_01222","O78H51Korea_03464","O78H9China_03833","O78H9HPVN24_02846","O78H9IMT2125UK_02930","O78US_03592","O82H8Thailand_02242","O8H25Laos_03718","O9H21China_01203"
"infA","","protein chain initiation factor IF-1","21","21","1","52","8893","","","","218","218","218","OH32Brunei_04616","OH5Pakistan_03092","O109H51Pakistan_03294","O16H48Indonesia_00903","O1H7Pakistan_03240","O1K1H7Korea_03275","O25H4Denmark_03763","O2K1H5China_03892","O2K1H5Korea_03420","O36H5Pakistan_03124","O76O8H9China_02367","O78H4Australia_04248","O78H4Korea_03224","O78H51Korea_01522","O78H9China_00551","O78H9HPVN24_00983","O78H9IMT2125UK_00955","O78US_01721","O82H8Thailand_00934","O8H25Laos_01797","O9H21China_03114"
"metJ","","MetJ transcriptional repressor","21","21","1","52","12521","","","","317","317","317","OH32Brunei_01223","OH5Pakistan_04681","O109H51Pakistan_04959","O16H48Indonesia_04020","O1H7Pakistan_04824","O1K1H7Korea_04935","O25H4Denmark_03914","O2K1H5China_02292","O2K1H5Korea_05068","O36H5Pakistan_04613","O76O8H9China_02692","O78H4Australia_02548","O78H4Korea_04927","O78H51Korea_04947","O78H9China_04691","O78H9HPVN24_04205","O78H9IMT2125UK_04297","O78US_00101","O82H8Thailand_02817","O8H25Laos_00387","O9H21China_04704"
"rpoZ","","RNA polymerase, o subunit","21","21","1","52","1220","","","","275","275","275","OH32Brunei_02422","OH5Pakistan_00106","O109H51Pakistan_00251","O16H48Indonesia_03712","O1H7Pakistan_00196","O1K1H7Korea_00075","O25H4Denmark_02129","O2K1H5China_01965","O2K1H5Korea_00109","O36H5Pakistan_00212","O76O8H9China_04755","O78H4Australia_02167","O78H4Korea_00154","O78H51Korea_04561","O78H9China_02675","O78H9HPVN24_03894","O78H9IMT2125UK_03972","O78US_04638","O82H8Thailand_04505","O8H25Laos_00060","O9H21China_00063"
"glnH","","glutamine ABC transporter - periplasmic binding protein","21","21","1","52","9011","","","","746","746","746","OH32Brunei_00665","OH5Pakistan_03233","O109H51Pakistan_03416","O16H48Indonesia_00826","O1H7Pakistan_03371","O1K1H7Korea_03431","O25H4Denmark_03108","O2K1H5China_03746","O2K1H5Korea_03514","O36H5Pakistan_03203","O76O8H9China_02490","O78H4Australia_04166","O78H4Korea_03303","O78H51Korea_01397","O78H9China_00454","O78H9HPVN24_00886","O78H9IMT2125UK_00857","O78US_01624","O82H8Thailand_00271","O8H25Laos_01719","O9H21China_03238"
"yqjD","","inner membrane protein associated with the ribosome","21","21","1","52","2068","","","","305","305","305","OH32Brunei_02890","OH5Pakistan_00767","O109H51Pakistan_00846","O16H48Indonesia_03159","O1H7Pakistan_00776","O1K1H7Korea_00654","O25H4Denmark_01336","O2K1H5China_01384","O2K1H5Korea_00684","O36H5Pakistan_00874","O76O8H9China_00856","O78H4Australia_01585","O78H4Korea_00739","O78H51Korea_03991","O78H9China_03097","O78H9HPVN24_03334","O78H9IMT2125UK_03404","O78US_04064","O82H8Thailand_03043","O8H25Laos_04170","O9H21China_00636"
"ygdR","","putative protein","21","21","1","52","2616","","","","218","218","218","OH32Brunei_02182","OH5Pakistan_01000","O109H51Pakistan_01243","O16H48Indonesia_02893","O1H7Pakistan_01135","O1K1H7Korea_01097","O25H4Denmark_00645","O2K1H5China_01084","O2K1H5Korea_01093","O36H5Pakistan_01065","O76O8H9China_03536","O78H4Australia_01075","O78H4Korea_01049","O78H51Korea_03602","O78H9China_03765","O78H9HPVN24_02987","O78H9IMT2125UK_03075","O78US_03737","O82H8Thailand_02386","O8H25Laos_03854","O9H21China_01052"
"fdoG_1","","formate dehydrogenase-O, alpha subunit","21","21","1","52","12464","","","","587","587","587","OH32Brunei_01176","OH5Pakistan_04776","O109H51Pakistan_05012","O16H48Indonesia_03973","O1H7Pakistan_04869","O1K1H7Korea_04980","O25H4Denmark_04041","O2K1H5China_02246","O2K1H5Korea_05157","O36H5Pakistan_04660","O76O8H9China_01779","O78H4Australia_02458","O78H4Korea_04972","O78H51Korea_04896","O78H9China_04123","O78H9HPVN24_04155","O78H9IMT2125UK_04236","O78US_00049","O82H8Thailand_01808","O8H25Laos_00336","O9H21China_04754"
"yeiP_1","","putative dehydrogenase, NAD-dependent","21","21","1","52","12031","","","","572","572","572","OH32Brunei_00105","OH5Pakistan_01658","O109H51Pakistan_01931","O16H48Indonesia_02237","O1H7Pakistan_01790","O1K1H7Korea_01895","O25H4Denmark_00401","O2K1H5China_00294","O2K1H5Korea_01916","O36H5Pakistan_01742","O76O8H9China_00144","O78H4Australia_00419","O78H4Korea_01698","O78H51Korea_02911","O78H9China_00404","O78H9HPVN24_02290","O78H9IMT2125UK_02297","O78US_03061","O82H8Thailand_03607","O8H25Laos_03179","O9H21China_01713"
"gcvR","","GcvR predicted transcriptional regulator","21","21","1","52","4563","","","","572","572","572","OH32Brunei_02620","OH5Pakistan_01351","O109H51Pakistan_01647","O16H48Indonesia_02524","O1H7Pakistan_01490","O1K1H7Korea_01543","O25H4Denmark_00103","O2K1H5China_00657","O2K1H5Korea_01566","O36H5Pakistan_01443","O76O8H9China_03166","O78H4Australia_00714","O78H4Korea_01409","O78H51Korea_03246","O78H9China_02296","O78H9HPVN24_02651","O78H9IMT2125UK_02624","O78US_03382","O82H8Thailand_01325","O8H25Laos_03499","O9H21China_01406"
"rpsL","","30S ribosomal subunit protein S12","21","21","1","52","1832","","","","374","374","374","OH32Brunei_05214","OH5Pakistan_00434","O109H51Pakistan_00611","O16H48Indonesia_03388","O1H7Pakistan_00535","O1K1H7Korea_00412","O25H4Denmark_02476","O2K1H5China_01628","O2K1H5Korea_00444","O36H5Pakistan_00527","O76O8H9China_04516","O78H4Australia_01822","O78H4Korea_00500","O78H51Korea_04220","O78H9China_02381","O78H9HPVN24_03572","O78H9IMT2125UK_03645","O78US_04308","O82H8Thailand_04648","O8H25Laos_04401","O9H21China_00406"
"rmf","","ribosome modulation factor","21","21","1","52","8812","","","","167","167","167","OH32Brunei_04734","OH5Pakistan_03015","O109H51Pakistan_03220","O16H48Indonesia_00975","O1H7Pakistan_03137","O1K1H7Korea_03213","O25H4Denmark_03320","O2K1H5China_03954","O2K1H5Korea_03358","O36H5Pakistan_03046","O76O8H9China_02294","O78H4Australia_04315","O78H4Korea_03159","O78H51Korea_01595","O78H9China_00624","O78H9HPVN24_01058","O78H9IMT2125UK_01068","O78US_01835","O82H8Thailand_04893","O8H25Laos_01905","O9H21China_03039"
"ymgG","","putative protein","21","21","1","52","10204","","","","284","284","284","OH32Brunei_05022","OH5Pakistan_02772","O109H51Pakistan_03020","O16H48Indonesia_01200","O1H7Pakistan_02879","O1K1H7Korea_02956","O25H4Denmark_04478","O2K1H5China_04969","O2K1H5Korea_03097","O36H5Pakistan_02851","O76O8H9China_02095","O78H4Australia_04520","O78H4Korea_02955","O78H51Korea_01785","O78H9China_04555","O78H9HPVN24_01255","O78H9IMT2125UK_01274","O78US_02034","O82H8Thailand_01520","O8H25Laos_02098","O9H21China_02848"
"gntT","","gluconate transporter GntT","21","21","1","52","1751","","","","1316","1316","1316","OH32Brunei_05287","OH5Pakistan_00360","O109H51Pakistan_00535","O16H48Indonesia_03464","O1H7Pakistan_00466","O1K1H7Korea_00343","O25H4Denmark_02407","O2K1H5China_01699","O2K1H5Korea_00375","O36H5Pakistan_00454","O76O8H9China_04589","O78H4Australia_01893","O78H4Korea_00269","O78H51Korea_04296","O78H9China_02454","O78H9HPVN24_03645","O78H9IMT2125UK_03719","O78US_04381","O82H8Thailand_04717","O8H25Laos_04476","O9H21China_00331"
"rpmA","","50S ribosomal subunit protein L27","21","21","1","52","1978","","","","257","257","257","OH32Brunei_02828","OH5Pakistan_00604","O109H51Pakistan_00753","O16H48Indonesia_03247","O1H7Pakistan_00695","O1K1H7Korea_00573","O25H4Denmark_01253","O2K1H5China_01465","O2K1H5Korea_00603","O36H5Pakistan_00689","O76O8H9China_00947","O78H4Australia_01670","O78H4Korea_00652","O78H51Korea_04082","O78H9China_03005","O78H9HPVN24_03427","O78H9IMT2125UK_03498","O78US_04155","O82H8Thailand_02952","O8H25Laos_04262","O9H21China_00546"
"eno_1","","degradosome","21","21","1","52","2559","","","","1298","1298","1298","OH32Brunei_02240","OH5Pakistan_01058","O109H51Pakistan_01300","O16H48Indonesia_02834","O1H7Pakistan_01221","O1K1H7Korea_01183","O25H4Denmark_00565","O2K1H5China_00997","O2K1H5Korea_01179","O36H5Pakistan_01123","O76O8H9China_03479","O78H4Australia_00990","O78H4Korea_01134","O78H51Korea_03545","O78H9China_03707","O78H9HPVN24_02932","O78H9IMT2125UK_03017","O78US_03679","O82H8Thailand_02329","O8H25Laos_03797","O9H21China_01110"
"yneM","","small membrane protein","21","21","1","52","10935","","","","95","95","95","OH32Brunei_04017","OH5Pakistan_02333","O109H51Pakistan_02655","O16H48Indonesia_01581","O1H7Pakistan_02501","O1K1H7Korea_02578","O25H4Denmark_01558","O2K1H5China_04648","O2K1H5Korea_02709","O36H5Pakistan_02426","O76O8H9China_00814","O78H4Australia_00016","O78H4Korea_02489","O78H51Korea_02144","O78H9China_04572","O78H9HPVN24_01611","O78H9IMT2125UK_01645","O78US_02398","O82H8Thailand_02558","O8H25Laos_02498","O9H21China_02477"
"nuoJ","","NADH:ubiquinone oxidoreductase, membrane subunit J","21","21","1","52","4812","","","","554","554","554","OH32Brunei_00218","OH5Pakistan_01529","O109H51Pakistan_01831","O16H48Indonesia_02335","O1H7Pakistan_01682","O1K1H7Korea_01787","O25H4Denmark_00290","O2K1H5China_00404","O2K1H5Korea_01808","O36H5Pakistan_01628","O76O8H9China_00047","O78H4Australia_00529","O78H4Korea_01592","O78H51Korea_03008","O78H9China_01878","O78H9HPVN24_02424","O78H9IMT2125UK_02431","O78US_03193","O82H8Thailand_03511","O8H25Laos_03277","O9H21China_01597"
"napG","","ferredoxin-type protein","21","21","1","52","4901","","","","695","695","695","OH32Brunei_00137","OH5Pakistan_01615","O109H51Pakistan_01899","O16H48Indonesia_02269","O1H7Pakistan_01757","O1K1H7Korea_01862","O25H4Denmark_00366","O2K1H5China_00329","O2K1H5Korea_01883","O36H5Pakistan_01710","O76O8H9China_00112","O78H4Australia_00452","O78H4Korea_01666","O78H51Korea_02943","O78H9China_01956","O78H9HPVN24_02343","O78H9IMT2125UK_02351","O78US_03116","O82H8Thailand_03575","O8H25Laos_03211","O9H21China_01663"
"cysB","","CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator","21","21","1","52","10337","","","","974","974","974","OH32Brunei_04880","OH5Pakistan_02637","O109H51Pakistan_02907","O16H48Indonesia_01313","O1H7Pakistan_02703","O1K1H7Korea_02780","O25H4Denmark_03599","O2K1H5China_04856","O2K1H5Korea_02917","O36H5Pakistan_02734","O76O8H9China_01984","O78H4Australia_04632","O78H4Korea_02777","O78H51Korea_01895","O78H9China_02130","O78H9HPVN24_01366","O78H9IMT2125UK_01387","O78US_02146","O82H8Thailand_00323","O8H25Laos_02209","O9H21China_02739"
"group_10145","","hypothetical protein","21","21","1","52","9198","","","","482","482","482","OH32Brunei_01451","OH5Pakistan_03478","O109H51Pakistan_03655","O16H48Indonesia_00663","O1H7Pakistan_03530","O1K1H7Korea_03590","O25H4Denmark_01112","O2K1H5China_03585","O2K1H5Korea_03673","O36H5Pakistan_03444","O76O8H9China_01716","O78H4Australia_03900","O78H4Korea_03562","O78H51Korea_01226","O78H9China_03479","O78H9HPVN24_00684","O78H9IMT2125UK_00657","O78US_01418","O82H8Thailand_02043","O8H25Laos_01549","O9H21China_03410"
"bcp","","thiol peroxidase","21","21","1","52","4562","","","","470","470","470","OH32Brunei_02619","OH5Pakistan_01350","O109H51Pakistan_01646","O16H48Indonesia_02525","O1H7Pakistan_01489","O1K1H7Korea_01542","O25H4Denmark_00102","O2K1H5China_00658","O2K1H5Korea_01565","O36H5Pakistan_01442","O76O8H9China_03165","O78H4Australia_00715","O78H4Korea_01408","O78H51Korea_03247","O78H9China_02295","O78H9HPVN24_02652","O78H9IMT2125UK_02625","O78US_03383","O82H8Thailand_01326","O8H25Laos_03500","O9H21China_01405"
"yecF","","putative protein","21","21","1","52","11920","","","","224","224","224","OH32Brunei_01887","OH5Pakistan_01926","O109H51Pakistan_02226","O16H48Indonesia_01971","O1H7Pakistan_02157","O1K1H7Korea_02231","O25H4Denmark_04240","O2K1H5China_04301","O2K1H5Korea_02296","O36H5Pakistan_02039","O76O8H9China_00419","O78H4Australia_04888","O78H4Korea_02060","O78H51Korea_02557","O78H9China_00092","O78H9HPVN24_01989","O78H9IMT2125UK_02027","O78US_02794","O82H8Thailand_01697","O8H25Laos_02893","O9H21China_02037"
"rpsH","","30S ribosomal subunit protein S8","21","21","1","52","1869","","","","392","392","392","OH32Brunei_03962","OH5Pakistan_00477","O109H51Pakistan_00633","O16H48Indonesia_03367","O1H7Pakistan_00571","O1K1H7Korea_00449","O25H4Denmark_04409","O2K1H5China_01588","O2K1H5Korea_00480","O36H5Pakistan_00563","O76O8H9China_02915","O78H4Australia_01786","O78H4Korea_00536","O78H51Korea_04198","O78H9China_04730","O78H9HPVN24_03536","O78H9IMT2125UK_03609","O78US_04272","O82H8Thailand_03445","O8H25Laos_04379","O9H21China_00428"
"lpcA","","D-sedoheptulose 7-phosphate isomerase","21","21","1","52","7236","","","","578","578","578","OH32Brunei_03909","OH5Pakistan_03936","O109H51Pakistan_04160","O16H48Indonesia_00231","O1H7Pakistan_03907","O1K1H7Korea_03967","O25H4Denmark_04514","O2K1H5China_03202","O2K1H5Korea_04031","O36H5Pakistan_03862","O76O8H9China_02967","O78H4Australia_03461","O78H4Korea_03979","O78H51Korea_00763","O78H9China_03586","O78H9HPVN24_00269","O78H9IMT2125UK_00239","O78US_00966","O82H8Thailand_02419","O8H25Laos_01162","O9H21China_03896"
"ydhZ","","putative protein","21","21","1","52","11390","","","","209","209","209","OH32Brunei_03747","OH5Pakistan_02221","O109H51Pakistan_02480","O16H48Indonesia_01730","O1H7Pakistan_02395","O1K1H7Korea_02472","O25H4Denmark_01666","O2K1H5China_04540","O2K1H5Korea_02603","O36H5Pakistan_02315","O76O8H9China_00659","O78H4Australia_05128","O78H4Korea_02318","O78H51Korea_02310","O78H9China_01631","O78H9HPVN24_01747","O78H9IMT2125UK_01781","O78US_02554","O82H8Thailand_00670","O8H25Laos_02645","O9H21China_02301"
"ynaJ","","putative inner membrane protein","21","21","1","52","10403","","","","257","257","257","OH32Brunei_03605","OH5Pakistan_02572","O109H51Pakistan_02845","O16H48Indonesia_01376","O1H7Pakistan_02644","O1K1H7Korea_02721","O25H4Denmark_03658","O2K1H5China_04795","O2K1H5Korea_02858","O36H5Pakistan_02669","O76O8H9China_01922","O78H4Australia_04697","O78H4Korea_02711","O78H51Korea_01957","O78H9China_02068","O78H9HPVN24_01429","O78H9IMT2125UK_01451","O78US_02208","O82H8Thailand_00387","O8H25Laos_02274","O9H21China_02676"
