"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"arpA_2","","regulator of acetyl CoA synthetase","4","4","1","1","2906","","","","1088","1634","1497","O78H9China_01582","O78H9HPVN24_01797","O78H9IMT2125UK_01831","O78US_02603"
"pheT","","phenylalanyl-tRNA synthetase beta-chain","4","4","1","1","2898","","","","1847","2387","2252","O78H9China_01589","O78H9HPVN24_01790","O78H9IMT2125UK_01823","O78US_02596"
"nanM","","N-acetylneuraminate mutarotase","4","4","1","1","4433","","","","1106","1196","1128","O78H9China_04293","O78H9HPVN24_04674","O78H9IMT2125UK_04736","O78US_00564"
"sufS","","L-selenocysteine lyase (and L-cysteine desulfurase) monomer","4","4","1","1","4611","","","","1016","1220","1169","O78H9China_01626","O78H9HPVN24_01752","O78H9IMT2125UK_01786","O78US_02559"
"ydhC","","putative transport protein YdhC","4","4","1","1","4629","","","","668","1211","1075","O78H9China_01647","O78H9HPVN24_01731","O78H9IMT2125UK_01764","O78US_02538"
"ydgJ","","YdgJ","4","4","1","1","4669","","","","620","1040","935","O78H9China_01686","O78H9HPVN24_01691","O78H9IMT2125UK_01724","O78US_02499"
"rstB","","Sensor protein RstB","4","4","1","1","4699","","","","773","1301","1169","O78H9China_01702","O78H9HPVN24_01674","O78H9IMT2125UK_01686","O78US_02483"
"pntB","","pyridine nucleotide transhydrogenase, beta subunit","4","4","1","1","4692","","","","662","1388","1206","O78H9China_01709","O78H9HPVN24_01667","O78H9IMT2125UK_01678","O78US_02476"
"clpP_2","","ATP-dependent Clp protease proteolytic subunit","4","4","1","1","2826","","","","836","2027","1339","O78H9China_01768","O78H9HPVN24_04988","O78H9IMT2125UK_02846","O78US_02414"
"group_161","","hypothetical protein","4","4","1","1","538","","","","863","1220","1130","O78H9China_01833","O78H9HPVN24_02469","O78H9IMT2125UK_02477","O78US_03238"
"yihT","","putative aldolase","4","4","1","1","99","","","","878","878","878","O78H9China_04140","O78H9HPVN24_04138","O78H9IMT2125UK_04219","O78US_00032"
"glpT_2","","glycerol-3-phosphate:phosphate antiporter","4","4","1","1","5283","","","","1319","1319","1319","O78H9China_02654","O78H9HPVN24_03915","O78H9IMT2125UK_03993","O78US_04659"
"hscA","","chaperone, member of Hsp70 protein family","4","4","1","1","2649","","","","1850","1850","1850","O78H9China_02244","O78H9HPVN24_02703","O78H9IMT2125UK_02676","O78US_03434"
"nuoH","","NADH:ubiquinone oxidoreductase, membrane subunit H","4","4","1","1","495","","","","788","977","929","O78H9China_01876","O78H9HPVN24_02426","O78H9IMT2125UK_02433","O78US_03195"
"glyQ","","glycyl-tRNA synthetase, alpha subunit","4","4","1","1","1627","","","","911","911","911","O78H9China_03955","O78H9HPVN24_03799","O78H9IMT2125UK_03875","O78US_04542"
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase","4","4","1","1","2472","","","","365","365","365","O78H9China_03693","O78H9HPVN24_02918","O78H9IMT2125UK_03004","O78US_03665"
"araC","","AraC-Arabinose DNA-binding transcriptional activator","4","4","1","1","3927","","","","878","878","878","O78H9China_01344","O78H9HPVN24_00105","O78H9IMT2125UK_00071","O78US_00794"
"yhjJ","","putative zinc-dependent peptidase","4","4","1","1","1664","","","","1496","1496","1496","O78H9China_03909","O78H9HPVN24_03759","O78H9IMT2125UK_03834","O78US_04496"
"mglA","","galactose ABC transporter - ATP binding subunit","4","4","1","1","3597","","","","1520","1520","1520","O78H9China_00380","O78H9HPVN24_02266","O78H9IMT2125UK_02272","O78US_03037"
"borD_1","","bacteriophage lambda Bor protein","4","4","1","1","660","","","","293","293","293","O78H9China_05013","O78H9HPVN24_00840","O78H9IMT2125UK_00810","O78US_01573"
"glcB","","malate synthase G","4","4","1","1","2215","","","","2171","2171","2171","O78H9China_03127","O78H9HPVN24_03190","O78H9IMT2125UK_03255","O78US_03917"
"thrC","","threonine synthase","4","4","1","1","4308","","","","1286","1286","1286","O78H9China_01410","O78H9HPVN24_00040","O78H9IMT2125UK_00004","O78US_00729"
"purC","","phosphoribosylaminoimidazole-succinocarboxamide synthase","4","4","1","1","230","","","","713","713","713","O78H9China_02300","O78H9HPVN24_02647","O78H9IMT2125UK_02620","O78US_03378"
"gmhB","","D,D-heptose 1,7-bisphosphate phosphatase","4","4","1","1","4746","","","","575","575","575","O78H9China_01200","O78H9HPVN24_00248","O78H9IMT2125UK_00217","O78US_00938"
"uidA","","beta-D-glucuronidase","4","4","1","1","4676","","","","1811","1811","1811","O78H9China_01693","O78H9HPVN24_01684","O78H9IMT2125UK_01717","O78US_02492"
"fau","","5-formyltetrahydrofolate cyclo-ligase","4","4","1","1","2304","","","","602","602","602","O78H9China_03344","O78H9HPVN24_03088","O78H9IMT2125UK_03180","O78US_03841"
"pabB","","para-aminobenzoate synthase multi-enzyme complex","4","4","1","1","2989","","","","1361","1361","1361","O78H9China_01498","O78H9HPVN24_01882","O78H9IMT2125UK_01916","O78US_02687"
"group_1643","","hypothetical protein","4","4","1","1","461","","","","902","902","902","O78H9China_01909","O78H9HPVN24_02392","O78H9IMT2125UK_02399","O78US_03162"
"glxK","","glycerate kinase II","4","4","1","1","5004","","","","1145","1145","1145","O78H9China_02877","O78H9HPVN24_00561","O78H9IMT2125UK_00532","O78US_01269"
"ratA","","50S ribosomal subunit-binding toxin of a predicted toxin-antitoxin pair","4","4","1","1","2786","","","","476","476","476","O78H9China_04806","O78H9HPVN24_02794","O78H9IMT2125UK_02824","O78US_03533"
"ackA","","acetate kinase","4","4","1","1","511","","","","1202","1202","1202","O78H9China_01860","O78H9HPVN24_02442","O78H9IMT2125UK_02450","O78US_03211"
"smtA","","putative S-adenosylmethionine-dependent methyltransferase","4","4","1","1","1058","","","","785","785","785","O78H9China_00589","O78H9HPVN24_01023","O78H9IMT2125UK_01032","O78US_01800"
"amiB","","N-acetylmuramoyl-L-alanine amidase 2","4","4","1","1","1405","","","","1337","1337","1337","O78H9China_00952","O78H9HPVN24_04500","O78H9IMT2125UK_04562","O78US_00388"
"msrC","","free methionine-(R)-sulfoxide reductase","4","4","1","1","3010","","","","551","551","551","O78H9China_00006","O78H9HPVN24_01903","O78H9IMT2125UK_01938","O78US_02708"
"arnA","","fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4''-decarboxylase","4","4","1","1","469","","","","1208","1982","1788","O78H9China_01901","O78H9HPVN24_02400","O78H9IMT2125UK_02408","O78US_03170"
"rnk","","regulator of nucleoside diphosphate kinase","4","4","1","1","3821","","","","410","410","410","O78H9China_03513","O78H9HPVN24_00650","O78H9IMT2125UK_00623","O78US_01384"
"spaQ","","Surface presentation of antigens protein SpaQ","4","4","1","1","2363","","","","260","260","260","O78H9China_03283","O78H9HPVN24_03027","O78H9IMT2125UK_03118","O78US_03780"
"ydcH","","putative protein","4","4","1","1","3288","","","","224","224","224","O78H9China_02005","O78H9HPVN24_01492","O78H9IMT2125UK_01516","O78US_02272"
"malP","","maltodextrin phosphorylase monomer","4","4","1","1","1773","","","","2393","2393","2393","O78H9China_02456","O78H9HPVN24_03647","O78H9IMT2125UK_03721","O78US_04383"
"yefM","","YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor","4","4","1","1","3467","","","","251","251","251","O78H9China_00238","O78H9HPVN24_02121","O78H9IMT2125UK_02131","O78US_02895"
"dps","","stationary phase nucleoid protein that sequesters iron and protects DNA from damage","4","4","1","1","1189","","","","503","503","503","O78H9China_00455","O78H9HPVN24_00887","O78H9IMT2125UK_00858","O78US_01625"
"group_1656","","hypothetical protein","4","4","1","1","4404","","","","1286","1286","1286","O78H9China_04266","O78H9HPVN24_04647","O78H9IMT2125UK_04710","O78US_00538"
"group_1657","","hypothetical protein","4","4","1","1","1363","","","","842","842","842","O78H9China_00910","O78H9HPVN24_04542","O78H9IMT2125UK_04605","O78US_00430"
"group_1658","","hypothetical protein","4","4","1","1","3237","","","","563","563","563","O78H9China_02059","O78H9HPVN24_01438","O78H9IMT2125UK_01461","O78US_02217"
"dcuS","","Sensor histidine kinase DcuS","4","4","1","1","1446","","","","1631","1631","1631","O78H9China_00998","O78H9HPVN24_04456","O78H9IMT2125UK_04515","O78US_00341"
"dcp","","dipeptidyl carboxypeptidase II","4","4","1","1","3787","","","","2045","2045","2045","O78H9China_04567","O78H9HPVN24_01616","O78H9IMT2125UK_01650","O78US_02403"
"rtn","","putative lipoprotein","4","4","1","1","3626","","","","1556","1556","1556","O78H9China_00409","O78H9HPVN24_02295","O78H9IMT2125UK_02302","O78US_03066"
"pcm","","L-isoaspartate protein carboxylmethyltransferase type II","4","4","1","1","2498","","","","626","626","626","O78H9China_03881","O78H9HPVN24_02894","O78H9IMT2125UK_02978","O78US_03640"
"group_1663","","hypothetical protein","4","4","1","1","1677","","","","281","281","281","O78H9China_02555","O78H9HPVN24_03746","O78H9IMT2125UK_03820","O78US_04482"
"rpoA","","RNA polymerase, alpha subunit","4","4","1","1","1896","","","","989","989","989","O78H9China_04742","O78H9HPVN24_03524","O78H9IMT2125UK_03597","O78US_04260"
"hycC","","hydrogenase 3, membrane subunit","4","4","1","1","2519","","","","1826","1826","1826","O78H9China_03860","O78H9HPVN24_02873","O78H9IMT2125UK_02957","O78US_03619"
"lrp","","Lrp transcriptional dual regulator","4","4","1","1","1090","","","","494","494","494","O78H9China_00556","O78H9HPVN24_00988","O78H9IMT2125UK_00960","O78US_01726"
"speD","","adenosylmethionine decarboxylase, proenzyme","4","4","1","1","3980","","","","794","794","794","O78H9China_01283","O78H9HPVN24_00165","O78H9IMT2125UK_00132","O78US_00855"
"sgcE","","KpLE2 phage-like element; predicted epimerase","4","4","1","1","4417","","","","632","632","632","O78H9China_04279","O78H9HPVN24_04660","O78H9IMT2125UK_04723","O78US_00551"
"leuE","","leucine efflux transporter","4","4","1","1","2975","","","","638","638","638","O78H9China_01513","O78H9HPVN24_01867","O78H9IMT2125UK_01901","O78US_02672"
"group_167","","hypothetical protein","4","4","1","1","444","","","","3122","4394","4076","O78H9China_01927","O78H9HPVN24_02374","O78H9IMT2125UK_02380","O78US_03144"
"yihX","","alpha-D-glucose-1-phosphatase","4","4","1","1","95","","","","599","599","599","O78H9China_04136","O78H9HPVN24_04142","O78H9IMT2125UK_04223","O78US_00036"
"group_1671","","hypothetical protein","4","4","1","1","3278","","","","800","800","800","O78H9China_02017","O78H9HPVN24_01480","O78H9IMT2125UK_01504","O78US_02260"
"ygdQ","","putative transport protein","4","4","1","1","2407","","","","713","713","713","O78H9China_03764","O78H9HPVN24_02986","O78H9IMT2125UK_03074","O78US_03736"
"ugpA","","glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative membrane subunit","4","4","1","1","1740","","","","887","887","887","O78H9China_02489","O78H9HPVN24_03680","O78H9IMT2125UK_03755","O78US_04416"
"tusA","","sulfur transfer protein","4","4","1","1","1720","","","","245","245","245","O78H9China_02509","O78H9HPVN24_03700","O78H9IMT2125UK_03775","O78US_04436"
"ycjR","","putative enzyme","4","4","1","1","3210","","","","788","788","788","O78H9China_02086","O78H9HPVN24_01411","O78H9IMT2125UK_01432","O78US_02190"
"group_1676","","hypothetical protein","4","4","1","1","3485","","","","956","956","956","O78H9China_00257","O78H9HPVN24_02140","O78H9IMT2125UK_02151","O78US_02914"
"group_1677","","hypothetical protein","4","4","1","1","3086","","","","665","665","665","O78H9China_00085","O78H9HPVN24_01982","O78H9IMT2125UK_02020","O78US_02787"
"fucA_1","","L-fuculose-phosphate aldolase","4","4","1","1","2437","","","","647","647","647","O78H9China_03729","O78H9HPVN24_02954","O78H9IMT2125UK_03039","O78US_03701"
"yceM","","putative oxidoreductase, NAD(P)-binding Rossmann-fold domain","4","4","1","1","914","","","","923","923","923","O78H9China_00741","O78H9HPVN24_01173","O78H9IMT2125UK_01188","O78US_01952"
"tusC","","sulfur transfer protein complex, TusC subunit","4","4","1","1","1846","","","","359","359","359","O78H9China_02383","O78H9HPVN24_03574","O78H9IMT2125UK_03647","O78US_04310"
"hyaE","","protein involved in quality control of HyaA","4","4","1","1","1003","","","","398","398","398","O78H9China_00647","O78H9HPVN24_01081","O78H9IMT2125UK_01091","O78US_01858"
"nuoM","","NADH:ubiquinone oxidoreductase, membrane subunit M","4","4","1","1","490","","","","1529","1529","1529","O78H9China_01881","O78H9HPVN24_02421","O78H9IMT2125UK_02428","O78US_03190"
"group_1683","","hypothetical protein","4","4","1","1","2029","","","","395","395","395","O78H9China_03048","O78H9HPVN24_03383","O78H9IMT2125UK_03455","O78US_04112"
"yfiE","","putative DNA-binding transcriptional regulator LYSR-type","4","4","1","1","2700","","","","881","881","881","O78H9China_02188","O78H9HPVN24_02757","O78H9IMT2125UK_02732","O78US_03490"
"carB","","carbamoyl phosphate synthetase","4","4","1","1","4276","","","","3221","3221","3221","O78H9China_01377","O78H9HPVN24_00072","O78H9IMT2125UK_00039","O78US_00762"
"moeB","","molybdopterin-synthase adenylyltransferase","4","4","1","1","1174","","","","749","749","749","O78H9China_00469","O78H9HPVN24_00901","O78H9IMT2125UK_00873","O78US_01639"
"ldrB_1","","small toxic polypeptide LdrB","4","4","1","1","781","","","","107","107","107","O78H9China_04507","O78H9HPVN24_01304","O78H9IMT2125UK_01323","O78US_02084"
"fucK","","L-fuculokinase","4","4","1","1","2434","","","","1418","1418","1418","O78H9China_03732","O78H9HPVN24_02957","O78H9IMT2125UK_03042","O78US_03704"
"atpB","","ATP synthase F0 complex - a subunit","4","4","1","1","5210","","","","815","815","815","O78H9China_02576","O78H9HPVN24_03996","O78H9IMT2125UK_04072","O78US_04736"
"curA","","NADPH-dependent curcumin/dihydrocurcumin reductase subunit","4","4","1","1","3313","","","","404","1037","878","O78H9China_01982","O78H9HPVN24_01514","O78H9IMT2125UK_01539","O78US_02295"
"hdhA","","7-alpha-hydroxysteroid dehydrogenase","4","4","1","1","4674","","","","767","767","767","O78H9China_01691","O78H9HPVN24_01686","O78H9IMT2125UK_01719","O78US_02494"
"aslA","","arylsulfatase","4","4","1","1","5158","","","","161","161","161","O78H9China_04038","O78H9HPVN24_04054","O78H9IMT2125UK_04131","O78US_04800"
"ogt","","Ogt","4","4","1","1","3231","","","","515","515","515","O78H9China_02065","O78H9HPVN24_01432","O78H9IMT2125UK_01454","O78US_02211"
"emrK","","EmrKY-TolC multidrug efflux transport system - membrane fusion protein","4","4","1","1","595","","","","1163","1163","1163","O78H9China_01800","O78H9HPVN24_02561","O78H9IMT2125UK_02514","O78US_03271"
"hda","","regulator of DnaA that prevents premature reinitiation of DNA replication","4","4","1","1","2618","","","","746","746","746","O78H9China_02277","O78H9HPVN24_02670","O78H9IMT2125UK_02643","O78US_03401"
"ydgC","","hypothetical protein","4","4","1","1","4697","","","","335","335","335","O78H9China_01704","O78H9HPVN24_01672","O78H9IMT2125UK_01684","O78US_02481"
"uxaB","","altronate oxidoreductase","4","4","1","1","3762","","","","1451","1451","1451","O78H9China_04594","O78H9HPVN24_01589","O78H9IMT2125UK_01624","O78US_02376"
"moaB","","MoaB subunit","4","4","1","1","1220","","","","512","512","512","O78H9China_00424","O78H9HPVN24_00856","O78H9IMT2125UK_00826","O78US_01594"
"ybcW","","DLP12 prophage; predicted protein","4","4","1","1","662","","","","206","206","206","O78H9China_05011","O78H9HPVN24_00842","O78H9IMT2125UK_00812","O78US_01575"
"yliE","","putative c-di-GMP-specific phosphodiesterase","4","4","1","1","1167","","","","2348","2348","2348","O78H9China_00476","O78H9HPVN24_00908","O78H9IMT2125UK_00880","O78US_01646"
"ybfL","","putative transposase; receptor protein","4","4","1","1","355","","","","302","1043","857","O78H9China_04403","O78H9HPVN24_00739","O78H9IMT2125UK_00713","O78US_01476"
"viaA","","stimulator of RavA ATPase activity","4","4","1","1","5203","","","","1451","1451","1451","O78H9China_02569","O78H9HPVN24_04003","O78H9IMT2125UK_04079","O78US_04743"
"group_1701","","hypothetical protein","4","4","1","1","2274","","","","731","731","731","O78H9China_03377","O78H9HPVN24_03121","O78H9IMT2125UK_03213","O78US_03874"
"yhgN","","putative inner membrane protein","4","4","1","1","1753","","","","593","593","593","O78H9China_02475","O78H9HPVN24_03666","O78H9IMT2125UK_03741","O78US_04402"
"dinF","","DinF MATE Transporter","4","4","1","1","4180","","","","1325","1325","1325","O78H9China_01146","O78H9HPVN24_04330","O78H9IMT2125UK_04423","O78US_00235"
"nanE","","putative N-acetylmannosamine-6-phosphate epimerase","4","4","1","1","1960","","","","689","689","689","O78H9China_02972","O78H9HPVN24_03460","O78H9IMT2125UK_03531","O78US_04188"
"group_1705","","hypothetical protein","4","4","1","1","5174","","","","218","218","218","O78H9China_04057","O78H9HPVN24_04035","O78H9IMT2125UK_04112","O78US_04781"
"cysI","","sulfite reductase, hemoprotein subunit","4","4","1","1","2474","","","","1712","1712","1712","O78H9China_03691","O78H9HPVN24_02916","O78H9IMT2125UK_03002","O78US_03663"
"ispE","","4-diphosphocytidyl-2-C-methylerythritol kinase","4","4","1","1","789","","","","851","851","851","O78H9China_04515","O78H9HPVN24_01296","O78H9IMT2125UK_01315","O78US_02076"
"yqaE","","putative membrane protein","4","4","1","1","2573","","","","158","158","158","O78H9China_03797","O78H9HPVN24_02814","O78H9IMT2125UK_02894","O78US_03556"
"ybaL","","YbaL CPA2 transporter","4","4","1","1","4972","","","","1676","1676","1676","O78H9China_02844","O78H9HPVN24_00528","O78H9IMT2125UK_00499","O78US_01237"
"ydcU","","YdcS/YdcT/YdcV/YdcU ABC transporter","4","4","1","1","3305","","","","557","941","845","O78H9China_01990","O78H9HPVN24_01507","O78H9IMT2125UK_01532","O78US_02288"
"group_1710","","hypothetical protein","4","4","1","1","4423","","","","260","260","260","O78H9China_04285","O78H9HPVN24_04666","O78H9IMT2125UK_04729","O78US_00557"
"yhiI","","putative HlyD family secretion protein","4","4","1","1","1705","","","","1067","1067","1067","O78H9China_02524","O78H9HPVN24_03715","O78H9IMT2125UK_03790","O78US_04451"
"stpA","","H-NS-like DNA-binding protein with RNA chaperone activity","4","4","1","1","2570","","","","404","404","404","O78H9China_03800","O78H9HPVN24_02817","O78H9IMT2125UK_02897","O78US_03559"
"yedK","","putative protein","4","4","1","1","3106","","","","671","671","671","O78H9China_00108","O78H9HPVN24_02005","O78H9IMT2125UK_02043","O78US_02810"
"group_1714","","hypothetical protein","4","4","1","1","2461","","","","671","671","671","O78H9China_03704","O78H9HPVN24_02929","O78H9IMT2125UK_03015","O78US_03676"
"ftnB","","putative ferritin-like protein","4","4","1","1","3080","","","","503","503","503","O78H9China_00079","O78H9HPVN24_01976","O78H9IMT2125UK_02014","O78US_02781"
"yfbM","","putative protein","4","4","1","1","488","","","","503","503","503","O78H9China_01883","O78H9HPVN24_02419","O78H9IMT2125UK_02426","O78US_03188"
"trpC","","indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase","4","4","1","1","737","","","","1358","1358","1358","O78H9China_02142","O78H9HPVN24_01354","O78H9IMT2125UK_01374","O78US_02134"
"yncH","","hypothetical protein","4","4","1","1","3320","","","","212","212","212","O78H9China_01976","O78H9HPVN24_01520","O78H9IMT2125UK_01545","O78US_02301"
"flgN","","flagellar biosynthesis protein FlgN","4","4","1","1","912","","","","416","416","416","O78H9China_00743","O78H9HPVN24_01175","O78H9IMT2125UK_01190","O78US_01954"
"ygjV","","inner membrane protein","4","4","1","1","2093","","","","551","551","551","O78H9China_03260","O78H9HPVN24_03322","O78H9IMT2125UK_03388","O78US_04049"
"rpsL","","30S ribosomal subunit protein S12","4","4","1","1","1848","","","","374","374","374","O78H9China_02381","O78H9HPVN24_03572","O78H9IMT2125UK_03645","O78US_04308"
"yafS","","putative S-adenosyl-L-methionine-dependent methyltransferase","4","4","1","1","4753","","","","722","722","722","O78H9China_03572","O78H9HPVN24_00256","O78H9IMT2125UK_00226","O78US_00952"
"ydeQ","","putative fimbrial-like adhesin protein","4","4","1","1","3323","","","","914","914","914","O78H9China_04614","O78H9HPVN24_01569","O78H9IMT2125UK_01604","O78US_02356"
"dgoK","","2-dehydro-3-deoxygalactonate kinase","4","4","1","1","5257","","","","878","878","878","O78H9China_02625","O78H9HPVN24_03945","O78H9IMT2125UK_04021","O78US_04687"
"argI","","ornithine carbamoyltransferase chain I","4","4","1","1","4352","","","","1004","1004","1004","O78H9China_00857","O78H9HPVN24_04595","O78H9IMT2125UK_04658","O78US_00483"
"ycbZ","","putative ATP-dependent protease","4","4","1","1","1023","","","","1760","1760","1760","O78H9China_00626","O78H9HPVN24_01060","O78H9IMT2125UK_01070","O78US_01837"
"dmlA","","D-malate dehydrogenase (decarboxylating)","4","4","1","1","2977","","","","1085","1085","1085","O78H9China_01511","O78H9HPVN24_01869","O78H9IMT2125UK_01903","O78US_02674"
"yiaO_2","","2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein","4","4","1","1","1607","","","","986","986","986","O78H9China_03976","O78H9HPVN24_03820","O78H9IMT2125UK_03896","O78US_04563"
"truD","","tRNA pseudouridine 13 synthase","4","4","1","1","2496","","","","1049","1049","1049","O78H9China_03883","O78H9HPVN24_02896","O78H9IMT2125UK_02980","O78US_03642"
"ydaN","","putative Zn(II) transporter","4","4","1","1","3239","","","","614","983","890","O78H9China_02057","O78H9HPVN24_01440","O78H9IMT2125UK_01463","O78US_02219"
"pcnB","","poly(A) polymerase I","4","4","1","1","4050","","","","1364","1364","1364","O78H9China_01260","O78H9HPVN24_00188","O78H9IMT2125UK_00157","O78US_00878"
"insB-1","","IS1 protein InsB","4","4","1","1","4387","","","","209","209","209","O78H9China_00819","O78H9HPVN24_04633","O78H9IMT2125UK_04697","O78US_00521"
"yccJ","","putative protein","4","4","1","1","976","","","","227","227","227","O78H9China_00674","O78H9HPVN24_01109","O78H9IMT2125UK_01119","O78US_01885"
"fimF","","fimbrial morphology","4","4","1","1","4442","","","","530","530","530","O78H9China_04302","O78H9HPVN24_04683","O78H9IMT2125UK_04746","O78US_00573"
"glcE","","glycolate oxidase, predicted FAD-binding subunit","4","4","1","1","2212","","","","1052","1052","1052","O78H9China_03130","O78H9HPVN24_03193","O78H9IMT2125UK_03258","O78US_03920"
"intB_4","","KpLE2 phage-like element; predicted integrase","4","4","1","1","4368","","","","1265","1265","1265","O78H9China_00838","O78H9HPVN24_04614","O78H9IMT2125UK_04677","O78US_00502"
"yqiA","","esterase","4","4","1","1","2148","","","","581","581","581","O78H9China_03199","O78H9HPVN24_03261","O78H9IMT2125UK_03326","O78US_03988"
"rna","","RNase I, cleaves phosphodiester bond between any two nucleotides","4","4","1","1","3820","","","","806","806","806","O78H9China_03511","O78H9HPVN24_00652","O78H9IMT2125UK_00625","O78US_01386"
"zipA","","essential cell division protein ZipA","4","4","1","1","289","","","","986","986","986","O78H9China_02360","O78H9HPVN24_02587","O78H9IMT2125UK_02560","O78US_03317"
"group_1739","","hypothetical protein","4","4","1","1","618","","","","380","380","380","O78H9China_04349","O78H9HPVN24_00800","O78H9IMT2125UK_00768","O78US_01529"
"dsbA","","Thiol:disulfide interchange protein DsbA","4","4","1","1","124","","","","626","626","626","O78H9China_04167","O78H9HPVN24_04109","O78H9IMT2125UK_04192","O78US_00005"
"yjfP","","esterase","4","4","1","1","1383","","","","749","749","749","O78H9China_00931","O78H9HPVN24_04521","O78H9IMT2125UK_04584","O78US_00409"
"ytfL","","putative transport protein","4","4","1","1","1347","","","","1343","1343","1343","O78H9China_00893","O78H9HPVN24_04559","O78H9IMT2125UK_04622","O78US_00447"
"nanS","","putative 9-O-acetyl-N-acetylneuraminate esterase","4","4","1","1","4430","","","","980","980","980","O78H9China_04292","O78H9HPVN24_04673","O78H9IMT2125UK_04735","O78US_00563"
"yhdX","","YhdW/YhdX/YhdY/YhdZ ABC transporter","4","4","1","1","1915","","","","1181","1181","1181","O78H9China_02927","O78H9HPVN24_03506","O78H9IMT2125UK_03578","O78US_04233"
"group_1745","","hypothetical protein","4","4","1","1","4396","","","","401","401","401","O78H9China_04258","O78H9HPVN24_04640","O78H9IMT2125UK_04703","O78US_00531"
"lysS","","lysyl tRNA synthetase (LysRSs), constitutive","4","4","1","1","2325","","","","1517","1517","1517","O78H9China_03322","O78H9HPVN24_03066","O78H9IMT2125UK_03158","O78US_03819"
"setC","","inner membrane protein SetC - putative arabinose efflux protein","4","4","1","1","5274","","","","1184","1184","1184","O78H9China_02663","O78H9HPVN24_03906","O78H9IMT2125UK_03984","O78US_04650"
